combinacion;intentos
0123;1
0132;3
0213;5
0231;6
0312;7
0321;9
1023;2
1032;2
1203;5
1230;5
1302;7
1320;5
2013;3
2031;6
2103;6
2130;6
2301;3
2310;5
3012;4
3021;8
3102;8
3120;7
3201;4
3210;4
0124;2
0142;4
0214;6
0241;7
0412;8
0421;10
1024;3
1042;4
1204;2
1240;4
1402;5
1420;6
2014;3
2041;3
2104;7
2140;7
2401;5
2410;4
4012;5
4021;9
4102;9
4120;8
4201;6
4210;6
0125;3
0152;5
0215;7
0251;8
0512;9
0521;11
1025;4
1052;5
1205;3
1250;5
1502;6
1520;7
2015;3
2051;4
2105;8
2150;8
2501;6
2510;5
5012;6
5021;10
5102;10
5120;9
5201;7
5210;7
0126;4
0162;6
0216;8
0261;9
0612;10
0621;12
1026;5
1062;6
1206;4
1260;6
1602;7
1620;8
2016;4
2061;5
2106;9
2160;9
2601;7
2610;6
6012;7
6021;11
6102;11
6120;10
6201;8
6210;8
0127;5
0172;7
0217;9
0271;10
0712;11
0721;13
1027;6
1072;7
1207;5
1270;7
1702;8
1720;9
2017;5
2071;6
2107;10
2170;10
2701;8
2710;7
7012;8
7021;12
7102;12
7120;11
7201;9
7210;9
0128;6
0182;8
0218;10
0281;11
0812;12
0821;14
1028;7
1082;8
1208;6
1280;8
1802;9
1820;10
2018;6
2081;7
2108;11
2180;11
2801;9
2810;8
8012;9
8021;13
8102;13
8120;12
8201;10
8210;10
0129;7
0192;9
0219;11
0291;12
0912;13
0921;15
1029;8
1092;9
1209;7
1290;9
1902;10
1920;11
2019;7
2091;8
2109;12
2190;12
2901;10
2910;9
9012;10
9021;14
9102;14
9120;13
9201;11
9210;11
0134;5
0143;7
0314;11
0341;9
0413;10
0431;9
1034;5
1043;5
1304;7
1340;5
1403;7
1430;7
3014;5
3041;7
3104;11
3140;9
3401;7
3410;5
4013;5
4031;6
4103;11
4130;10
4301;6
4310;8
0135;4
0153;4
0315;7
0351;6
0513;10
0531;9
1035;6
1053;7
1305;10
1350;5
1503;7
1530;5
3015;6
3051;4
3105;8
3150;9
3501;7
3510;8
5013;6
5031;5
5103;6
5130;7
5301;8
5310;6
0136;4
0163;6
0316;8
0361;8
0613;11
0631;7
1036;5
1063;5
1306;4
1360;4
1603;6
1630;7
3016;4
3061;4
3106;9
3160;10
3601;7
3610;7
6013;6
6031;5
6103;8
6130;8
6301;8
6310;6
0137;5
0173;7
0317;9
0371;9
0713;11
0731;8
1037;6
1073;6
1307;5
1370;7
1703;7
1730;9
3017;5
3071;6
3107;10
3170;10
3701;8
3710;8
7013;7
7031;7
7103;9
7130;9
7301;9
7310;7
0138;6
0183;8
0318;10
0381;10
0813;12
0831;9
1038;7
1083;7
1308;6
1380;8
1803;8
1830;10
3018;6
3081;7
3108;11
3180;11
3801;9
3810;9
8013;8
8031;8
8103;10
8130;10
8301;10
8310;8
0139;7
0193;9
0319;11
0391;11
0913;13
0931;10
1039;8
1093;8
1309;7
1390;9
1903;9
1930;11
3019;7
3091;8
3109;12
3190;12
3901;10
3910;10
9013;9
9031;9
9103;11
9130;11
9301;11
9310;9
0145;2
0154;4
0415;6
0451;7
0514;8
0541;10
1045;2
1054;7
1405;3
1450;6
1504;4
1540;7
4015;5
4051;4
4105;7
4150;7
4501;3
4510;5
5014;5
5041;7
5104;9
5140;8
5401;4
5410;4
0146;3
0164;5
0416;7
0461;8
0614;9
0641;11
1046;3
1064;8
1406;4
1460;7
1604;5
1640;8
4016;6
4061;5
4106;8
4160;8
4601;4
4610;6
6014;6
6041;8
6104;10
6140;9
6401;5
6410;5
0147;4
0174;6
0417;8
0471;9
0714;10
0741;12
1047;4
1074;9
1407;5
1470;8
1704;6
1740;9
4017;7
4071;6
4107;9
4170;9
4701;5
4710;7
7014;7
7041;9
7104;11
7140;10
7401;6
7410;6
0148;5
0184;7
0418;9
0481;10
0814;11
0841;13
1048;5
1084;10
1408;6
1480;9
1804;7
1840;10
4018;8
4081;7
4108;10
4180;10
4801;6
4810;8
8014;8
8041;10
8104;12
8140;11
8401;7
8410;7
0149;6
0194;8
0419;10
0491;11
0914;12
0941;14
1049;6
1094;11
1409;7
1490;10
1904;8
1940;11
4019;9
4091;8
4109;11
4190;11
4901;7
4910;9
9014;9
9041;11
9104;13
9140;12
9401;8
9410;8
0156;5
0165;7
0516;9
0561;10
0615;11
0651;13
1056;5
1065;10
1506;6
1560;9
1605;7
1650;10
5016;8
5061;7
5106;10
5160;10
5601;5
5610;6
6015;8
6051;10
6105;12
6150;11
6501;7
6510;5
0157;5
0175;5
0517;8
0571;7
0715;11
0751;10
1057;5
1075;9
1507;4
1570;8
1705;6
1750;9
5017;7
5071;5
5107;9
5170;10
5701;6
5710;6
7015;6
7051;8
7105;7
7150;8
7501;6
7510;7
0158;5
0185;7
0518;9
0581;9
0815;11
0851;8
1058;5
1085;10
1508;6
1580;9
1805;7
1850;10
5018;5
5081;6
5108;10
5180;10
5801;7
5810;7
8015;7
8051;9
8105;9
8150;9
8501;7
8510;8
0159;6
0195;8
0519;10
0591;10
0915;12
0951;9
1059;6
1095;11
1509;7
1590;10
1905;8
1950;11
5019;6
5091;7
5109;11
5190;11
5901;8
5910;8
9015;8
9051;10
9105;10
9150;10
9501;8
9510;9
0167;10
0176;8
0617;6
0671;11
0716;12
0761;14
1067;6
1076;10
1607;5
1670;9
1706;7
1760;10
6017;7
6071;6
6107;8
6170;9
6701;7
6710;7
7016;7
7061;7
7106;6
7160;8
7601;8
7610;8
0168;5
0186;7
0618;9
0681;10
0816;11
0861;13
1068;5
1086;10
1608;6
1680;9
1806;7
1860;10
6018;7
6081;7
6108;8
6180;9
6801;7
6810;7
8016;6
8061;6
8106;9
8160;9
8601;8
8610;8
0169;6
0196;8
0619;10
0691;11
0916;12
0961;14
1069;6
1096;11
1609;7
1690;10
1906;8
1960;11
6019;7
6091;7
6109;8
6190;9
6901;7
6910;7
9016;6
9061;6
9106;10
9160;9
9601;8
9610;8
0178;10
0187;9
0718;7
0781;6
0817;6
0871;8
1078;6
1087;10
1708;6
1780;6
1807;7
1870;7
7018;5
7081;7
7108;6
7180;9
7801;5
7810;6
8017;6
8071;8
8107;7
8170;6
8701;6
8710;7
0179;6
0197;8
0719;8
0791;7
0917;8
0971;9
1079;6
1097;11
1709;7
1790;7
1907;8
1970;8
7019;6
7091;8
7109;7
7190;10
7901;6
7910;7
9017;7
9071;9
9107;8
9170;6
9701;7
9710;8
0189;8
0198;11
0819;7
0891;7
0918;7
0981;8
1089;7
1098;11
1809;7
1890;7
1908;8
1980;8
8019;6
8091;7
8109;6
8190;9
8901;7
8910;7
9018;7
9081;8
9108;9
9180;8
9801;8
9810;8
0234;6
0243;9
0324;7
0342;7
0423;6
0432;8
2034;5
2043;5
2304;7
2340;4
2403;7
2430;5
3024;7
3042;6
3204;10
3240;4
3402;7
3420;10
4023;5
4032;5
4203;9
4230;8
4302;6
4320;8
0235;7
0253;7
0325;7
0352;6
0523;7
0532;12
2035;6
2053;4
2305;4
2350;7
2503;6
2530;6
3025;7
3052;5
3205;3
3250;7
3502;7
3520;10
5023;8
5032;6
5203;6
5230;6
5302;7
5320;5
0236;5
0263;6
0326;6
0362;9
0623;5
0632;7
2036;6
2063;5
2306;5
2360;5
2603;6
2630;6
3026;6
3062;5
3206;4
3260;8
3602;8
3620;9
6023;7
6032;6
6203;7
6230;7
6302;8
6320;9
0237;5
0273;7
0327;6
0372;10
0723;6
0732;8
2037;5
2073;6
2307;5
2370;5
2703;7
2730;6
3027;5
3072;5
3207;6
3270;8
3702;9
3720;8
7023;9
7032;6
7203;7
7230;7
7302;9
7320;9
0238;6
0283;8
0328;7
0382;11
0823;7
0832;9
2038;6
2083;7
2308;6
2380;6
2803;8
2830;7
3028;7
3082;6
3208;7
3280;8
3802;10
3820;8
8023;9
8032;7
8203;8
8230;7
8302;10
8320;10
0239;7
0293;9
0329;8
0392;12
0923;8
0932;10
2039;7
2093;8
2309;7
2390;7
2903;9
2930;8
3029;7
3092;7
3209;8
3290;9
3902;11
3920;9
9023;10
9032;8
9203;9
9230;7
9302;11
9320;11
0245;6
0254;7
0425;8
0452;12
0524;8
0542;12
2045;6
2054;6
2405;6
2450;5
2504;7
2540;11
4025;7
4052;7
4205;6
4250;8
4502;4
4520;5
5024;7
5042;10
5204;4
5240;5
5402;5
5420;7
0246;3
0264;5
0426;7
0462;8
0624;9
0642;11
2046;6
2064;6
2406;5
2460;7
2604;9
2640;11
4026;6
4062;6
4206;6
4260;7
4602;8
4620;10
6024;8
6042;8
6204;9
6240;9
6402;10
6420;9
0247;4
0274;6
0427;8
0472;9
0724;10
0742;12
2047;7
2074;6
2407;4
2470;6
2704;8
2740;10
4027;7
4072;7
4207;5
4270;6
4702;7
4720;9
7024;8
7042;8
7204;8
7240;8
7402;9
7420;8
0248;5
0284;7
0428;9
0482;10
0824;11
0842;13
2048;7
2084;6
2408;5
2480;7
2804;9
2840;9
4028;7
4082;5
4208;6
4280;6
4802;8
4820;9
8024;8
8042;8
8204;9
8240;8
8402;10
8420;8
0249;6
0294;8
0429;10
0492;11
0924;12
0942;14
2049;7
2094;7
2409;6
2490;8
2904;10
2940;10
4029;7
4092;6
4209;7
4290;6
4902;9
4920;9
9024;8
9042;8
9204;10
9240;8
9402;11
9420;8
0256;6
0265;8
0526;9
0562;9
0625;12
0652;8
2056;5
2065;8
2506;3
2560;5
2605;7
2650;6
5026;7
5062;8
5206;4
5260;4
5602;6
5620;10
6025;6
6052;10
6205;7
6250;5
6502;7
6520;11
0257;9
0275;7
0527;5
0572;10
0725;11
0752;13
2057;6
2075;8
2507;4
2570;6
2705;6
2750;7
5027;4
5072;8
5207;5
5270;5
5702;7
5720;10
7025;7
7052;6
7205;5
7250;6
7502;8
7520;9
0258;10
0285;9
0528;7
0582;9
0825;16
0852;13
2058;5
2085;7
2508;5
2580;7
2805;6
2850;8
5028;5
5082;7
5208;6
5280;6
5802;8
5820;11
8025;6
8052;8
8205;9
8250;7
8502;9
8520;10
0259;10
0295;9
0529;7
0592;9
0925;16
0952;13
2059;6
2095;8
2509;6
2590;8
2905;7
2950;9
5029;6
5092;8
5209;7
5290;7
5902;9
5920;12
9025;6
9052;9
9205;10
9250;8
9502;10
9520;11
0267;9
0276;5
0627;6
0672;5
0726;11
0762;7
2067;5
2076;8
2607;3
2670;6
2706;4
2760;7
6027;4
6072;6
6207;5
6270;4
6702;8
6720;8
7026;5
7062;7
7206;6
7260;5
7602;9
7620;8
0268;6
0286;7
0628;7
0682;7
0826;12
0862;9
2068;6
2086;9
2608;4
2680;7
2806;5
2860;8
6028;4
6082;6
6208;6
6280;5
6802;9
6820;9
8026;6
8062;7
8206;7
8260;6
8602;10
8620;6
0269;7
0296;8
0629;8
0692;8
0926;12
0962;10
2069;6
2096;10
2609;5
2690;8
2906;6
2960;9
6029;5
6092;7
6209;7
6290;6
6902;10
6920;10
9026;7
9062;8
9206;8
9260;7
9602;11
9620;6
0278;5
0287;5
0728;7
0782;7
0827;9
0872;8
2078;5
2087;8
2708;6
2780;9
2807;7
2870;10
7028;6
7082;6
7208;8
7280;7
7802;11
7820;10
8027;8
8072;7
8207;9
8270;8
8702;12
8720;9
0279;5
0297;6
0729;8
0792;8
0927;10
0972;9
2079;10
2097;5
2709;6
2790;6
2907;7
2970;7
7029;5
7092;7
7209;5
7290;7
7902;10
7920;9
9027;7
9072;7
9207;8
9270;8
9702;11
9720;8
0289;6
0298;8
0829;9
0892;8
0928;11
0982;9
2089;6
2098;10
2809;6
2890;8
2908;5
2980;9
8029;7
8092;7
8209;7
8290;5
8902;10
8920;10
9028;6
9082;8
9208;8
9280;6
9802;11
9820;9
0345;6
0354;8
0435;7
0453;9
0534;9
0543;13
3045;7
3054;7
3405;5
3450;4
3504;6
3540;10
4035;8
4053;6
4305;6
4350;7
4503;6
4530;3
5034;8
5043;9
5304;4
5340;10
5403;7
5430;8
0346;7
0364;8
0436;9
0463;13
0634;9
0643;13
3046;7
3064;5
3406;6
3460;6
3604;10
3640;11
4036;8
4063;8
4306;7
4360;5
4603;7
4630;7
6034;6
6043;13
6304;9
6340;10
6403;9
6430;8
0347;4
0374;6
0437;8
0473;9
0734;10
0743;12
3047;4
3074;9
3407;4
3470;6
3704;8
3740;11
4037;10
4073;8
4307;5
4370;6
4703;6
4730;7
7034;5
7043;11
7304;7
7340;9
7403;10
7430;7
0348;5
0384;7
0438;9
0483;10
0834;11
0843;13
3048;5
3084;9
3408;5
3480;5
3804;9
3840;12
4038;8
4083;6
4308;6
4380;6
4803;7
4830;7
8034;6
8043;12
8304;8
8340;10
8403;10
8430;6
0349;6
0394;8
0439;10
0493;11
0934;12
0943;14
3049;6
3094;8
3409;6
3490;6
3904;10
3940;13
4039;7
4093;7
4309;7
4390;6
4903;7
4930;7
9034;7
9043;13
9304;9
9340;11
9403;11
9430;7
0356;7
0365;9
0536;11
0563;12
0635;13
0653;15
3056;6
3065;8
3506;7
3560;8
3605;6
3650;5
5036;8
5063;8
5306;8
5360;6
5603;6
5630;8
6035;10
6053;10
6305;7
6350;6
6503;9
6530;9
0357;8
0375;8
0537;9
0573;9
0735;7
0753;11
3057;4
3075;8
3507;7
3570;6
3705;6
3750;7
5037;7
5073;7
5307;8
5370;8
5703;7
5730;10
7035;7
7053;7
7305;6
7350;8
7503;8
7530;11
0358;6
0385;6
0538;8
0583;7
0835;10
0853;9
3058;5
3085;9
3508;7
3580;6
3805;7
3850;5
5038;8
5083;8
5308;8
5380;5
5803;8
5830;7
8035;8
8053;8
8305;7
8350;6
8503;9
8530;9
0359;6
0395;8
0539;8
0593;8
0935;10
0953;7
3059;6
3095;10
3509;6
3590;6
3905;8
3950;6
5039;9
5093;9
5309;8
5390;6
5903;9
5930;8
9035;9
9053;9
9305;8
9350;7
9503;10
9530;9
0367;7
0376;7
0637;7
0673;5
0736;8
0763;7
3067;5
3076;7
3607;7
3670;7
3706;7
3760;5
6037;7
6073;7
6307;9
6370;6
6703;8
6730;8
7036;6
7063;8
7306;8
7360;6
7603;5
7630;9
0368;7
0386;7
0638;6
0683;7
0836;8
0863;6
3068;6
3086;6
3608;5
3680;7
3806;8
3860;7
6038;5
6083;8
6308;6
6380;7
6803;5
6830;8
8036;7
8063;6
8306;10
8360;7
8603;6
8630;8
0369;7
0396;7
0639;6
0693;8
0936;8
0963;6
3069;7
3096;7
3609;7
3690;9
3906;8
3960;8
6039;6
6093;9
6309;7
6390;7
6903;6
6930;8
9036;8
9063;7
9306;8
9360;8
9603;7
9630;10
0378;7
0387;7
0738;9
0783;9
0837;7
0873;11
3078;5
3087;7
3708;5
3780;7
3807;6
3870;9
7038;7
7083;6
7308;7
7380;6
7803;7
7830;8
8037;6
8073;8
8307;6
8370;7
8703;8
8730;9
0379;6
0397;10
0739;6
0793;7
0937;6
0973;8
3079;8
3097;5
3709;5
3790;7
3907;6
3970;9
7039;5
7093;7
7309;7
7390;7
7903;7
7930;8
9037;7
9073;8
9307;8
9370;8
9703;8
9730;10
0389;7
0398;8
0839;6
0893;7
0938;10
0983;6
3089;6
3098;9
3809;6
3890;7
3908;5
3980;9
8039;6
8093;7
8309;5
8390;7
8903;7
8930;8
9038;9
9083;7
9308;7
9380;6
9803;12
9830;8
0456;3
0465;6
0546;6
0564;7
0645;3
0654;6
4056;5
4065;7
4506;2
4560;6
4605;4
4650;7
5046;3
5064;3
5406;5
5460;5
5604;7
5640;7
6045;4
6054;6
6405;5
6450;4
6504;9
6540;7
0457;7
0475;7
0547;7
0574;8
0745;5
0754;8
4057;3
4075;8
4507;6
4570;7
4705;5
4750;8
5047;3
5074;4
5407;7
5470;6
5704;4
5740;8
7045;5
7054;7
7405;7
7450;4
7504;5
7540;5
0458;5
0485;6
0548;8
0584;9
0845;7
0854;8
4058;4
4085;9
4508;7
4580;8
4805;6
4850;9
5048;4
5084;5
5408;4
5480;7
5804;5
5840;9
8045;6
8054;8
8405;8
8450;5
8504;6
8540;5
0459;6
0495;7
0549;9
0594;10
0945;8
0954;9
4059;5
4095;10
4509;8
4590;9
4905;7
4950;10
5049;5
5094;6
5409;5
5490;8
5904;6
5940;10
9045;7
9054;9
9405;9
9450;6
9504;7
9540;5
0467;5
0476;8
0647;3
0674;5
0746;11
0764;6
4067;6
4076;10
4607;8
4670;10
4706;6
4760;8
6047;6
6074;5
6407;7
6470;4
6704;6
6740;9
7046;7
7064;7
7406;7
7460;5
7604;5
7640;7
0468;6
0486;7
0648;4
0684;6
0846;9
0864;7
4068;5
4086;9
4608;7
4680;7
4806;5
4860;8
6048;4
6084;5
6408;5
6480;5
6804;7
6840;8
8046;6
8064;6
8406;6
8460;6
8604;8
8640;7
0469;7
0496;8
0649;5
0694;7
0946;10
0964;8
4069;6
4096;10
4609;5
4690;8
4906;6
4960;9
6049;5
6094;6
6409;6
6490;6
6904;6
6940;9
9046;7
9064;7
9406;7
9460;7
9604;7
9640;8
0478;7
0487;7
0748;7
0784;6
0847;7
0874;7
4078;7
4087;9
4708;4
4780;8
4807;6
4870;9
7048;4
7084;5
7408;4
7480;9
7804;6
7840;7
8047;7
8074;6
8407;7
8470;7
8704;7
8740;6
0479;7
0497;7
0749;6
0794;6
0947;9
0974;7
4079;6
4097;10
4709;8
4790;8
4907;6
4970;9
7049;5
7094;6
7409;6
7490;7
7904;7
7940;8
9047;6
9074;7
9407;7
9470;6
9704;7
9740;7
0489;6
0498;7
0849;7
0894;7
0948;6
0984;8
4089;7
4098;10
4809;7
4890;8
4908;7
4980;9
8049;7
8094;6
8409;6
8490;8
8904;11
8940;10
9048;7
9084;6
9408;7
9480;7
9804;7
9840;9
0567;6
0576;8
0657;6
0675;8
0756;12
0765;11
5067;6
5076;11
5607;6
5670;8
5706;6
5760;6
6057;7
6075;9
6507;8
6570;5
6705;9
6750;5
7056;8
7065;9
7506;7
7560;6
7605;10
7650;6
0568;9
0586;8
0658;7
0685;9
0856;13
0865;8
5068;6
5086;11
5608;5
5680;5
5806;6
5860;6
6058;7
6085;9
6508;4
6580;6
6805;9
6850;7
8056;8
8065;9
8506;7
8560;7
8605;10
8650;8
0569;8
0596;7
0659;6
0695;8
0956;12
0965;7
5069;6
5096;11
5609;6
5690;6
5906;7
5960;7
6059;6
6095;7
6509;8
6590;7
6905;11
6950;6
9056;8
9065;9
9506;9
9560;8
9605;12
9650;7
0578;7
0587;9
0758;6
0785;6
0857;7
0875;7
5078;6
5087;7
5708;6
5780;9
5807;8
5870;10
7058;6
7085;7
7508;7
7580;9
7805;10
7850;9
8057;5
8075;8
8507;7
8570;8
8705;10
8750;5
0579;8
0597;10
0759;5
0795;7
0957;9
0975;8
5079;7
5097;8
5709;7
5790;7
5907;9
5970;8
7059;5
7095;6
7509;7
7590;10
7905;12
7950;8
9057;6
9075;7
9507;8
9570;7
9705;9
9750;6
0589;7
0598;7
0859;7
0895;9
0958;8
0985;8
5089;6
5098;7
5809;6
5890;7
5908;8
5980;8
8059;7
8095;8
8509;8
8590;8
8905;8
8950;7
9058;5
9085;6
9508;5
9580;9
9805;11
9850;9
0678;7
0687;9
0768;6
0786;7
0867;12
0876;9
6078;6
6087;7
6708;9
6780;8
6807;5
6870;9
7068;6
7086;7
7608;8
7680;7
7806;6
7860;7
8067;5
8076;5
8607;5
8670;8
8706;8
8760;8
0679;8
0697;7
0769;6
0796;9
0967;10
0976;9
6079;7
6097;7
6709;9
6790;7
6907;6
6970;9
7069;6
7096;10
7609;7
7690;7
7906;9
7960;7
9067;5
9076;6
9607;5
9670;8
9706;9
9760;11
0689;4
0698;6
0869;9
0896;9
0968;8
0986;12
6089;4
6098;5
6809;7
6890;7
6908;6
6980;8
8069;6
8096;8
8609;8
8690;5
8906;5
8960;6
9068;7
9086;10
9608;8
9680;6
9806;6
9860;7
0789;7
0798;9
0879;9
0897;7
0978;6
0987;6
7089;6
7098;7
7809;6
7890;9
7908;8
7980;10
8079;6
8097;7
8709;5
8790;9
8907;7
8970;11
9078;6
9087;7
9708;7
9780;8
9807;9
9870;8
1234;6
1243;6
1324;8
1342;9
1423;8
1432;7
2134;7
2143;8
2314;6
2341;6
2413;6
2431;7
3124;9
3142;11
3214;6
3241;9
3412;5
3421;12
4123;7
4132;9
4213;6
4231;9
4312;8
4321;9
1235;6
1253;8
1325;7
1352;5
1523;8
1532;5
2135;9
2153;7
2315;3
2351;4
2513;6
2531;5
3125;9
3152;11
3215;6
3251;9
3512;5
3521;12
5123;7
5132;7
5213;8
5231;9
5312;6
5321;7
1236;6
1263;8
1326;6
1362;5
1623;6
1632;7
2136;9
2163;7
2316;4
2361;5
2613;6
2631;6
3126;6
3162;9
3216;6
3261;6
3612;6
3621;12
6123;7
6132;7
6213;8
6231;7
6312;7
6321;9
1237;5
1273;7
1327;6
1372;6
1723;6
1732;6
2137;8
2173;6
2317;5
2371;6
2713;7
2731;7
3127;5
3172;9
3217;5
3271;6
3712;7
3721;10
7123;6
7132;7
7213;8
7231;9
7312;8
7321;7
1238;6
1283;8
1328;7
1382;7
1823;7
1832;6
2138;9
2183;6
2318;6
2381;7
2813;8
2831;8
3128;6
3182;10
3218;6
3281;7
3812;8
3821;11
8123;6
8132;8
8213;9
8231;10
8312;9
8321;7
1239;7
1293;9
1329;8
1392;8
1923;8
1932;7
2139;10
2193;7
2319;7
2391;8
2913;9
2931;9
3129;7
3192;11
3219;7
3291;8
3912;9
3921;12
9123;7
9132;9
9213;10
9231;11
9312;10
9321;7
1245;7
1254;9
1425;9
1452;7
1524;10
1542;8
2145;8
2154;7
2415;6
2451;5
2514;6
2541;9
4125;11
4152;9
4215;5
4251;7
4512;7
4521;6
5124;11
5142;13
5214;4
5241;9
5412;6
5421;6
1246;3
1264;5
1426;3
1462;7
1624;6
1642;6
2146;7
2164;8
2416;6
2461;8
2614;10
2641;6
4126;7
4162;6
4216;5
4261;7
4612;7
4621;8
6124;6
6142;13
6214;7
6241;8
6412;8
6421;8
1247;5
1274;5
1427;5
1472;8
1724;6
1742;6
2147;9
2174;7
2417;6
2471;7
2714;8
2741;7
4127;5
4172;5
4217;4
4271;5
4712;7
4721;9
7124;8
7142;9
7214;6
7241;8
7412;6
7421;8
1248;5
1284;6
1428;5
1482;9
1824;7
1842;7
2148;8
2184;8
2418;5
2481;7
2814;7
2841;8
4128;5
4182;6
4218;5
4281;6
4812;8
4821;10
8124;9
8142;14
8214;7
8241;9
8412;7
8421;9
1249;6
1294;7
1429;6
1492;10
1924;8
1942;8
2149;8
2194;9
2419;6
2491;8
2914;8
2941;9
4129;6
4192;7
4219;6
4291;7
4912;9
4921;11
9124;10
9142;14
9214;8
9241;10
9412;8
9421;10
1256;5
1265;6
1526;7
1562;7
1625;7
1652;8
2156;6
2165;10
2516;7
2561;7
2615;6
2651;8
5126;7
5162;7
5216;5
5261;4
5612;5
5621;9
6125;8
6152;8
6215;7
6251;6
6512;9
6521;7
1257;7
1275;9
1527;4
1572;9
1725;9
1752;11
2157;5
2175;6
2517;5
2571;7
2715;5
2751;8
5127;8
5172;6
5217;4
5271;5
5712;6
5721;9
7125;9
7152;7
7215;7
7251;7
7512;9
7521;9
1258;7
1285;9
1528;5
1582;9
1825;9
1852;10
2158;5
2185;7
2518;6
2581;6
2815;6
2851;7
5128;9
5182;7
5218;5
5281;6
5812;7
5821;10
8125;9
8152;8
8215;7
8251;8
8512;7
8521;10
1259;7
1295;9
1529;6
1592;9
1925;10
1952;10
2159;6
2195;8
2519;6
2591;6
2915;7
2951;7
5129;10
5192;8
5219;6
5291;7
5912;8
5921;11
9125;10
9152;9
9215;8
9251;9
9512;8
9521;11
1267;7
1276;6
1627;7
1672;6
1726;7
1762;6
2167;7
2176;7
2617;6
2671;8
2716;7
2761;9
6127;7
6172;10
6217;5
6271;4
6712;6
6721;9
7126;7
7162;6
7216;5
7261;7
7612;12
7621;11
1268;6
1286;7
1628;7
1682;6
1826;5
1862;6
2168;5
2186;8
2618;5
2681;7
2816;4
2861;8
6128;5
6182;8
6218;6
6281;6
6812;7
6821;7
8126;9
8162;7
8216;8
8261;7
8612;10
8621;8
1269;7
1296;8
1629;6
1692;6
1926;5
1962;6
2169;6
2196;9
2619;5
2691;8
2916;6
2961;9
6129;6
6192;9
6219;7
6291;7
6912;8
6921;7
9126;9
9162;8
9216;9
9261;8
9612;11
9621;10
1278;6
1287;6
1728;6
1782;7
1827;6
1872;6
2178;9
2187;7
2718;6
2781;9
2817;7
2871;10
7128;7
7182;9
7218;6
7281;6
7812;7
7821;7
8127;7
8172;9
8217;9
8271;7
8712;7
8721;8
1279;5
1297;7
1729;6
1792;8
1927;7
1972;7
2179;6
2197;9
2719;6
2791;9
2917;7
2971;10
7129;6
7192;9
7219;7
7291;7
7912;7
7921;8
9127;8
9172;8
9217;6
9271;8
9712;7
9721;9
1289;6
1298;7
1829;7
1892;8
1928;6
1982;9
2189;10
2198;7
2819;7
2891;7
2918;7
2981;7
8129;7
8192;7
8219;6
8291;6
8912;6
8921;8
9128;8
9182;10
9218;7
9281;7
9812;7
